product_id,parent_category
22665,3898.0
28640,0.0
13526,600.0
21399,1420.0
8504,2566.0
32122,0.0
31956,2054.0
6237,2109.0
16971,566.0
18385,566.0
12775,3295.0
8285,3137.0
16238,2894.0
29828,2894.0
13025,431.0
18912,3027.0
3898,0.0
17432,1072.0
3898,0.0
1480,1682.0
14612,0.0
1223,0.0
3362,1890.0
6084,1223.0
31733,0.0
19652,370.0
7002,3137.0
1315,3137.0
3898,3898.0
24190,3898.0
7811,2457.0
21408,0.0
20836,1147.0
23438,1147.0
2346,1147.0
32457,2280.0
27772,2280.0
26813,0.0
19733,0.0
30317,3898.0
10963,2012.0
16219,965.0
16010,1072.0
29149,2364.0
22075,0.0
22480,3898.0
21222,2280.0
17997,0.0
29010,3232.0
29270,0.0
29191,2280.0
27816,1147.0
13585,100.0
13331,2280.0
9577,100.0
13653,3898.0
8535,3056.0
15811,2280.0
18781,100.0
32346,2703.0
9206,1932.0
25833,3898.0
12742,1932.0
2012,298.0
1968,1134.0
3898,1072.0
9860,1072.0
15336,0.0
26013,0.0
25566,0.0
19233,2481.0
30464,0.0
24529,100.0
23188,100.0
21393,0.0
22819,0.0
27720,0.0
26970,0.0
26024,1072.0
19595,3898.0
1072,3189.0
25501,0.0
29683,3898.0
18084,148.0
21573,1072.0
13420,0.0
7610,0.0
1841,3565.0
31771,100.0
9911,3898.0
3898,3898.0
7674,431.0
9634,3898.0
11435,3898.0
14289,3687.0
20693,0.0
14790,0.0
26906,1380.0
2364,1380.0
27223,1682.0
31823,1380.0
8290,1380.0
4469,0.0
4646,1072.0
22253,1072.0
13811,3898.0
3366,100.0
1197,100.0
26890,0.0
2776,3898.0
10319,100.0
9323,2741.0
3165,0.0
4309,1543.0
30852,2741.0
30942,2741.0
31932,0.0
17464,3056.0
25550,566.0
10223,3898.0
7705,2012.0
10583,3898.0
15396,0.0
5762,3550.0
21357,3617.0
22644,0.0
14008,0.0
7257,2012.0
23945,2012.0
14611,0.0
3462,2012.0
27970,0.0
4847,3898.0
16267,0.0
10829,0.0
5398,1223.0
21550,0.0
28821,298.0
9409,1072.0
25598,0.0
361,0.0
20576,0.0
27298,3898.0
3230,0.0
21015,0.0
31178,3059.0
4448,1134.0
9436,965.0
16445,1178.0
29978,2475.0
12927,2475.0
4923,2475.0
8839,3189.0
21375,2566.0
32767,3056.0
28819,3898.0
16343,3189.0
31990,2028.0
20145,2901.0
4985,3898.0
16538,3898.0
15809,2028.0
20808,0.0
30109,3898.0
11979,0.0
4376,0.0
23676,2028.0
18744,2457.0
1932,1468.0
12137,3898.0
26808,3555.0
13586,3137.0
5044,0.0
612,2566.0
12095,2509.0
10837,2509.0
4874,2028.0
31630,2028.0
7190,3056.0
7228,566.0
30977,3232.0
32143,0.0
23181,3555.0
25048,422.0
29485,1072.0
24850,965.0
22541,3056.0
4675,0.0
9608,1072.0
16763,1072.0
3565,3056.0
26609,0.0
26018,3898.0
13358,3898.0
2486,1072.0
778,413.0
8263,0.0
31821,3288.0
31803,3898.0
20945,3898.0
22143,0.0
3898,3860.0
13556,2920.0
687,3898.0
7459,3898.0
29401,2920.0
10820,3565.0
25654,1315.0
30633,3898.0
6357,2924.0
20469,3056.0
13360,3056.0
19591,3056.0
32356,2346.0
2364,1778.0
29939,3288.0
29785,3056.0
4843,3189.0
7783,422.0
26351,3189.0
22279,600.0
24462,3550.0
5306,3898.0
7713,1682.0
27259,1890.0
5383,0.0
21069,1072.0
29318,2914.0
29277,3860.0
21960,3565.0
24135,1072.0
17922,965.0
15702,3752.0
